116,1445.59,1.44,0.38
117,1449.37,1.45,0.38
118,1453.14,1.46,0.39
119,1456.91,1.46,0.39
120,1460.68,1.47,0.39
121,1464.45,1.48,0.39
122,1468.22,1.48,0.39
123,1471.98,1.49,0.40
124,1475.75,1.50,0.40
125,1479.51,1.51,0.40
126,1483.28,1.51,0.40
127,1487.04,1.52,0.40
128,1490.80,1.53,0.41
129,1494.56,1.53,0.41
130,1498.32,1.54,0.41
131,1502.08,1.55,0.41
132,1505.83,1.55,0.41
133,1509.59,1.56,0.42
134,1513.34,1.57,0.42
135,1517.10,1.58,0.42
136,1520.85,1.58,0.42
137,1524.60,1.59,0.42
138,1528.35,1.60,0.43
139,1532.10,1.60,0.43
140,1535.84,1.61,0.43
141,1539.59,1.62,0.43
142,1543.33,1.63,0.43
143,1547.08,1.63,0.44
144,1550.82,1.64,0.44
145,1554.56,1.65,0.44
146,1558.30,1.65,0.44
147,1562.04,1.66,0.44
148,1565.78,1.67,0.45
149,1569.52,1.67,0.45
150,1573.25,1.68,0.45
151,1576.99,1.69,0.45
152,1580.72,1.69,0.45
153,1584.45,1.70,0.46
154,1588.18,1.71,0.46
155,1591.91,1.72,0.46
156,1595.64,1.72,0.46
157,1599.37,1.73,0.46
158,1603.09,1.74,0.47
159,1606.82,1.74,0.47
160,1610.54,1.75,0.47
161,1614.27,1.76,0.47
162,1617.99,1.76,0.47
163,1621.71,1.77,0.48
164,1625.43,1.78,0.48
165,1629.15,1.78,0.48
166,1632.86,1.79,0.48
167,1636.58,1.80,0.48
168,1640.30,1.81,0.49
169,1644.01,1.81,0.49
170,1647.72,1.82,0.49
171,1651.43,1.83,0.49
172,1655.14,1.83,0.49
173,1658.85,1.84,0.50
174,1662.56,1.85,0.50
175,1666.27,1.85,0.50
176,1669.97,1.86,0.50
177,1673.68,1.87,0.50
178,1677.38,1.87,0.51
179,1681.08,1.88,0.51
180,1684.78,1.89,0.51
181,1688.48,1.89,0.51
182,1692.18,1.90,0.51
183,1695.88,1.91,0.52
184,1699.58,1.91,0.52
185,1703.27,1.92,0.52
186,1706.96,1.93,0.52
187,1710.66,1.93,0.52
188,1714.35,1.94,0.53
189,1718.04,1.95,0.53
190,1721.73,1.96,0.53
191,1725.42,1.96,0.53
192,1729.10,1.97,0.53
193,1732.79,1.98,0.54
194,1736.48,1.98,0.54
195,1740.16,1.99,0.54
196,1743.84,2.00,0.54
197,1747.52,2.00,0.54
198,1751.20,2.01,0.55
199,1754.88,2.02,0.55
200,1758.56,2.02,0.55
201,1762.24,2.03,0.55
202,1765.91,2.04,0.55
203,1769.59,2.04,0.56
204,1773.26,2.05,0.56
205,1776.93,2.06,0.56
206,1780.60,2.06,0.56
207,1784.27,2.07,0.56
208,1787.94,2.08,0.57
209,1791.61,2.08,0.57
210,1795.28,2.09,0.57
211,1798.94,2.10,0.57
212,1802.60,2.10,0.57
213,1806.27,2.11,0.58
214,1809.93,2.12,0.58
215,1813.59,2.12,0.58
216,1817.25,2.13,0.58
217,1820.91,2.14,0.58
218,1824.56,2.14,0.59
219,1828.22,2.15,0.59
220,1831.88,2.16,0.59
221,1835.53,2.16,0.59
222,1839.18,2.17,0.59
223,1842.83,2.18,0.60
224,1846.48,2.18,0.60
225,1850.13,2.19,0.60
226,1853.78,2.20,0.60
227,1857.43,2.20,0.60
228,1861.07,2.21,0.61
229,1864.72,2.22,0.61
230,1868.36,2.22,0.61
231,1872.00,2.23,0.61
232,1875.64,2.24,0.61
233,1879.28,2.24,0.62
234,1882.92,2.25,0.62
235,1886.56,2.25,0.62
236,1890.19,2.26,0.62
237,1893.83,2.27,0.62
238,1897.46,2.27,0.63
239,1901.10,2.28,0.63
240,1904.73,2.29,0.63
241,1908.36,2.29,0.63
242,1911.99,2.30,0.63
243,1915.62,2.31,0.64
244,1919.24,2.31,0.64
245,1922.87,2.32,0.64
246,1926.49,2.33,0.64
247,1930.12,2.33,0.64
248,1933.74,2.34,0.65
249,1937.36,2.35,0.65
250,1940.98,2.35,0.65
251,1944.60,2.36,0.65
252,1948.22,2.37,0.65
253,1951.83,2.37,0.66
254,1955.45,2.38,0.66
255,1959.06,2.39,0.66
256,1962.68,2.39,0.66
257,1966.29,2.40,0.66
258,1969.90,2.40,0.67
259,1973.51,2.41,0.67
260,1977.12,2.42,0.67
261,1980.73,2.42,0.67
262,1984.33,2.43,0.67
263,1987.94,2.44,0.68
264,1991.54,2.44,0.68
265,1995.14,2.45,0.68
266,1998.75,2.46,0.68
267,2002.35,2.46,0.68
268,2005.95,2.47,0.69
269,2009.54,2.48,0.69
270,2013.14,2.48,0.69
271,2016.74,2.49,0.69
272,2020.33,2.49,0.69
273,2023.93,2.50,0.70
274,2027.52,2.51,0.70
275,2031.11,2.51,0.70
276,2034.70,2.52,0.70
277,2038.29,2.53,0.70
278,2041.88,2.53,0.71
279,2045.46,2.54,0.71
280,2049.05,2.55,0.71
281,2052.63,2.55,0.71
282,2056.22,2.56,0.71
283,2059.80,2.56,0.72
284,2063.38,2.57,0.72
285,2066.96,2.58,0.72
286,2070.54,2.58,0.72
287,2074.11,2.59,0.72
288,2077.69,2.60,0.73
289,2081.27,2.60,0.73
290,2084.84,2.61,0.73
291,2088.41,2.61,0.73
292,2091.98,2.62,0.73
293,2095.55,2.63,0.74
294,2099.12,2.63,0.74
295,2102.69,2.64,0.74
296,2106.26,2.65,0.74
297,2109.82,2.65,0.74
298,2113.39,2.66,0.75
299,2116.95,2.67,0.75
300,2120.52,2.67,0.75
301,2124.08,2.68,0.75
302,2127.64,2.68,0.75
303,2131.20,2.69,0.76
304,2134.75,2.70,0.76
305,2138.31,2.70,0.76
306,2141.87,2.71,0.76
307,2145.42,2.72,0.76
308,2148.97,2.72,0.77
309,2152.52,2.73,0.77
310,2156.08,2.73,0.77
311,2159.62,2.74,0.77
312,2163.17,2.75,0.77
313,2166.72,2.75,0.78
314,2170.27,2.76,0.78
315,2173.81,2.76,0.78
316,2177.36,2.77,0.78
317,2180.90,2.78,0.78
318,2184.44,2.78,0.79
319,2187.98,2.79,0.79
320,2191.52,2.80,0.79
321,2195.06,2.80,0.79
322,2198.60,2.81,0.79
323,2202.13,2.81,0.80
324,2205.67,2.82,0.80
325,2209.20,2.83,0.80
326,2212.73,2.83,0.80
327,2216.26,2.84,0.80
328,2219.79,2.84,0.81
329,2223.32,2.85,0.81
330,2226.85,2.86,0.81
331,2230.38,2.86,0.81
332,2233.90,2.87,0.81
333,2237.43,2.88,0.82
334,2240.95,2.88,0.82
335,2244.47,2.89,0.82
336,2247.99,2.89,0.82
337,2251.51,2.90,0.82
338,2255.03,2.91,0.83
339,2258.55,2.91,0.83
340,2262.06,2.92,0.83
341,2265.58,2.92,0.83
342,2269.09,2.93,0.83
343,2272.60,2.94,0.84
344,2276.12,2.94,0.84
345,2279.63,2.95,0.84
346,2283.14,2.95,0.84
347,2286.64,2.96,0.84
348,2290.15,2.97,0.85
349,2293.66,2.97,0.85
